M4id,category,Frequency,Horizon,SP
Y235,Macro,1,6,Yearly
Y236,Macro,1,6,Yearly
Y237,Macro,1,6,Yearly
Y238,Macro,1,6,Yearly
Y239,Macro,1,6,Yearly
Y240,Macro,1,6,Yearly
Y241,Macro,1,6,Yearly
Y242,Macro,1,6,Yearly
Y243,Macro,1,6,Yearly
Y244,Macro,1,6,Yearly
Y245,Macro,1,6,Yearly
Y246,Macro,1,6,Yearly
Y247,Macro,1,6,Yearly
Y248,Macro,1,6,Yearly
Y249,Macro,1,6,Yearly
Y250,Macro,1,6,Yearly
Y251,Macro,1,6,Yearly
Y252,Macro,1,6,Yearly
Y253,Macro,1,6,Yearly
Y254,Macro,1,6,Yearly
Y255,Macro,1,6,Yearly
Y256,Macro,1,6,Yearly
Y257,Macro,1,6,Yearly
Y258,Macro,1,6,Yearly
Y259,Macro,1,6,Yearly
Y260,Macro,1,6,Yearly
Y261,Macro,1,6,Yearly
Y262,Macro,1,6,Yearly
Y263,Macro,1,6,Yearly
Y264,Macro,1,6,Yearly
Y265,Macro,1,6,Yearly
Y266,Macro,1,6,Yearly
Y267,Macro,1,6,Yearly
Y268,Macro,1,6,Yearly
Y269,Macro,1,6,Yearly
Y270,Macro,1,6,Yearly
Y271,Macro,1,6,Yearly
Y272,Macro,1,6,Yearly
Y273,Macro,1,6,Yearly
Y274,Macro,1,6,Yearly
Y275,Macro,1,6,Yearly
Y276,Macro,1,6,Yearly
Y277,Macro,1,6,Yearly
Y278,Macro,1,6,Yearly
Y279,Macro,1,6,Yearly
Y280,Macro,1,6,Yearly
Y281,Macro,1,6,Yearly
Y282,Macro,1,6,Yearly
Y283,Macro,1,6,Yearly
Y284,Macro,1,6,Yearly
Y285,Macro,1,6,Yearly
Y286,Macro,1,6,Yearly
Y287,Macro,1,6,Yearly
Y288,Macro,1,6,Yearly
Y289,Macro,1,6,Yearly
Y290,Macro,1,6,Yearly
Y291,Macro,1,6,Yearly
Y292,Macro,1,6,Yearly
Y293,Macro,1,6,Yearly
Y294,Macro,1,6,Yearly
Y295,Macro,1,6,Yearly
Y296,Macro,1,6,Yearly
Y297,Macro,1,6,Yearly
Y298,Macro,1,6,Yearly
Y299,Macro,1,6,Yearly
Y300,Macro,1,6,Yearly
Y301,Macro,1,6,Yearly
Y302,Macro,1,6,Yearly
Y303,Macro,1,6,Yearly
Y304,Macro,1,6,Yearly
Y305,Macro,1,6,Yearly
Y306,Macro,1,6,Yearly
Y307,Macro,1,6,Yearly
Y308,Macro,1,6,Yearly
Y309,Macro,1,6,Yearly
Y310,Macro,1,6,Yearly
Y311,Macro,1,6,Yearly
Y312,Macro,1,6,Yearly
Y313,Macro,1,6,Yearly
Y314,Macro,1,6,Yearly
Y315,Macro,1,6,Yearly
Y316,Macro,1,6,Yearly
Y317,Macro,1,6,Yearly
Y318,Macro,1,6,Yearly
Y319,Macro,1,6,Yearly
Y320,Macro,1,6,Yearly
Y321,Macro,1,6,Yearly
Y322,Macro,1,6,Yearly
Y323,Macro,1,6,Yearly
Y324,Macro,1,6,Yearly
Y325,Macro,1,6,Yearly
Y326,Macro,1,6,Yearly
Y327,Macro,1,6,Yearly
Y328,Macro,1,6,Yearly
Y329,Macro,1,6,Yearly
Y330,Macro,1,6,Yearly
Y331,Macro,1,6,Yearly
Y332,Macro,1,6,Yearly
Y333,Macro,1,6,Yearly
Y334,Macro,1,6,Yearly
Y335,Macro,1,6,Yearly
Y336,Macro,1,6,Yearly
Y337,Macro,1,6,Yearly
Y338,Macro,1,6,Yearly
Y339,Macro,1,6,Yearly
Y340,Macro,1,6,Yearly
Y341,Macro,1,6,Yearly
Y342,Macro,1,6,Yearly
Y343,Macro,1,6,Yearly
Y344,Macro,1,6,Yearly
Y345,Macro,1,6,Yearly
Y346,Macro,1,6,Yearly
Y347,Macro,1,6,Yearly
Y348,Macro,1,6,Yearly
Y349,Macro,1,6,Yearly
Y350,Macro,1,6,Yearly
Y351,Macro,1,6,Yearly
Y352,Macro,1,6,Yearly
Y353,Macro,1,6,Yearly
Y354,Macro,1,6,Yearly
Y355,Macro,1,6,Yearly
Y356,Macro,1,6,Yearly
Y357,Macro,1,6,Yearly
Y358,Macro,1,6,Yearly
Y359,Macro,1,6,Yearly
Y360,Macro,1,6,Yearly
Y361,Macro,1,6,Yearly
Y362,Macro,1,6,Yearly
Y363,Macro,1,6,Yearly
Y364,Macro,1,6,Yearly
Y365,Macro,1,6,Yearly
Y366,Macro,1,6,Yearly
Y367,Macro,1,6,Yearly
Y368,Macro,1,6,Yearly
Y369,Macro,1,6,Yearly
Y370,Macro,1,6,Yearly
Y371,Macro,1,6,Yearly
Y372,Macro,1,6,Yearly
Y373,Macro,1,6,Yearly
Y374,Macro,1,6,Yearly
Y375,Macro,1,6,Yearly
Y376,Macro,1,6,Yearly
Y377,Macro,1,6,Yearly
Y378,Macro,1,6,Yearly
Y379,Macro,1,6,Yearly
Y380,Macro,1,6,Yearly
Y381,Macro,1,6,Yearly
Y382,Macro,1,6,Yearly
Y383,Macro,1,6,Yearly
Y384,Macro,1,6,Yearly
Y385,Macro,1,6,Yearly
Y386,Macro,1,6,Yearly
Y387,Macro,1,6,Yearly
Y388,Macro,1,6,Yearly
Y389,Macro,1,6,Yearly
Y390,Macro,1,6,Yearly
Y391,Macro,1,6,Yearly
Y392,Macro,1,6,Yearly
Y393,Macro,1,6,Yearly
Y394,Macro,1,6,Yearly
Y395,Macro,1,6,Yearly
Y396,Macro,1,6,Yearly
Y397,Macro,1,6,Yearly
Y398,Macro,1,6,Yearly
Y399,Macro,1,6,Yearly
Y400,Macro,1,6,Yearly
Y401,Macro,1,6,Yearly
Y402,Macro,1,6,Yearly
Y403,Macro,1,6,Yearly
Y404,Macro,1,6,Yearly
Y405,Macro,1,6,Yearly
Y406,Macro,1,6,Yearly
Y407,Macro,1,6,Yearly
Y408,Macro,1,6,Yearly
Y409,Macro,1,6,Yearly
Y410,Macro,1,6,Yearly
Y411,Macro,1,6,Yearly
Y412,Macro,1,6,Yearly
Y413,Macro,1,6,Yearly
Y414,Macro,1,6,Yearly
Y415,Macro,1,6,Yearly
Y416,Macro,1,6,Yearly
Y417,Macro,1,6,Yearly
Y418,Macro,1,6,Yearly
Y419,Macro,1,6,Yearly
Y420,Macro,1,6,Yearly
Y421,Macro,1,6,Yearly
Y422,Macro,1,6,Yearly
Y423,Macro,1,6,Yearly
Y424,Macro,1,6,Yearly
Y425,Macro,1,6,Yearly
Y426,Macro,1,6,Yearly
Y427,Macro,1,6,Yearly
Y428,Macro,1,6,Yearly
Y429,Macro,1,6,Yearly
Y430,Macro,1,6,Yearly
Y431,Macro,1,6,Yearly
Y432,Macro,1,6,Yearly
Y433,Macro,1,6,Yearly
Y434,Macro,1,6,Yearly
Y435,Macro,1,6,Yearly
Y436,Macro,1,6,Yearly
Y437,Macro,1,6,Yearly
Y438,Macro,1,6,Yearly
Y439,Macro,1,6,Yearly
Y440,Macro,1,6,Yearly
Y441,Macro,1,6,Yearly
Y442,Macro,1,6,Yearly
Y443,Macro,1,6,Yearly
Y444,Macro,1,6,Yearly
Y445,Macro,1,6,Yearly
Y446,Macro,1,6,Yearly
Y447,Macro,1,6,Yearly
Y448,Macro,1,6,Yearly
Y449,Macro,1,6,Yearly
Y450,Macro,1,6,Yearly
Y451,Macro,1,6,Yearly
Y452,Macro,1,6,Yearly
Y453,Macro,1,6,Yearly
Y454,Macro,1,6,Yearly
Y455,Macro,1,6,Yearly
Y456,Macro,1,6,Yearly
Y457,Macro,1,6,Yearly
Y458,Macro,1,6,Yearly
Y459,Macro,1,6,Yearly
Y460,Macro,1,6,Yearly
Y461,Macro,1,6,Yearly
Y462,Macro,1,6,Yearly
Y463,Macro,1,6,Yearly
Y464,Macro,1,6,Yearly
Y465,Macro,1,6,Yearly
Y466,Macro,1,6,Yearly
Y467,Macro,1,6,Yearly
Y468,Macro,1,6,Yearly
Y469,Macro,1,6,Yearly
Y470,Macro,1,6,Yearly
Y471,Macro,1,6,Yearly
Y472,Macro,1,6,Yearly
Y473,Macro,1,6,Yearly
Y474,Macro,1,6,Yearly
Y475,Macro,1,6,Yearly
Y476,Macro,1,6,Yearly
Y477,Macro,1,6,Yearly
Y478,Macro,1,6,Yearly
Y479,Macro,1,6,Yearly
Y480,Macro,1,6,Yearly
Y481,Macro,1,6,Yearly
Y482,Macro,1,6,Yearly
Y483,Macro,1,6,Yearly
Y484,Macro,1,6,Yearly
Y485,Macro,1,6,Yearly
Y486,Macro,1,6,Yearly
Y487,Macro,1,6,Yearly
Y488,Macro,1,6,Yearly
Y489,Macro,1,6,Yearly
Y490,Macro,1,6,Yearly
Y491,Macro,1,6,Yearly
Y492,Macro,1,6,Yearly
Y493,Macro,1,6,Yearly
Y494,Macro,1,6,Yearly
Y495,Macro,1,6,Yearly
Y496,Macro,1,6,Yearly
Y497,Macro,1,6,Yearly
Y498,Macro,1,6,Yearly
Y499,Macro,1,6,Yearly
Y500,Macro,1,6,Yearly
Y501,Macro,1,6,Yearly
Y502,Macro,1,6,Yearly
Y503,Macro,1,6,Yearly
Y504,Macro,1,6,Yearly
Y505,Macro,1,6,Yearly
Y506,Macro,1,6,Yearly
Y507,Macro,1,6,Yearly
Y508,Macro,1,6,Yearly
Y509,Macro,1,6,Yearly
Y510,Macro,1,6,Yearly
Y511,Macro,1,6,Yearly
Y512,Macro,1,6,Yearly
Y513,Macro,1,6,Yearly
Y514,Macro,1,6,Yearly
Y515,Macro,1,6,Yearly
Y516,Macro,1,6,Yearly
Y517,Macro,1,6,Yearly
Y518,Macro,1,6,Yearly
Y519,Macro,1,6,Yearly
Y520,Macro,1,6,Yearly
Y521,Macro,1,6,Yearly
Y522,Macro,1,6,Yearly
Y523,Macro,1,6,Yearly
Y524,Macro,1,6,Yearly
Y525,Macro,1,6,Yearly
Y526,Macro,1,6,Yearly
Y527,Macro,1,6,Yearly
Y528,Macro,1,6,Yearly
Y529,Macro,1,6,Yearly
Y530,Macro,1,6,Yearly
Y531,Macro,1,6,Yearly
Y532,Macro,1,6,Yearly
Y533,Macro,1,6,Yearly
Y534,Macro,1,6,Yearly
Y535,Macro,1,6,Yearly
Y536,Macro,1,6,Yearly
Y537,Macro,1,6,Yearly
Y538,Macro,1,6,Yearly
Y539,Macro,1,6,Yearly
Y540,Macro,1,6,Yearly
Y541,Macro,1,6,Yearly
Y542,Macro,1,6,Yearly
Y543,Macro,1,6,Yearly
Y544,Macro,1,6,Yearly
Y545,Macro,1,6,Yearly
Y546,Macro,1,6,Yearly
Y547,Macro,1,6,Yearly
Y548,Macro,1,6,Yearly
Y549,Macro,1,6,Yearly
Y550,Macro,1,6,Yearly
Y551,Macro,1,6,Yearly
Y552,Macro,1,6,Yearly
Y553,Macro,1,6,Yearly
Y554,Macro,1,6,Yearly
Y555,Macro,1,6,Yearly
Y556,Macro,1,6,Yearly
Y557,Macro,1,6,Yearly
Y558,Macro,1,6,Yearly
Y559,Macro,1,6,Yearly
Y560,Macro,1,6,Yearly
Y561,Macro,1,6,Yearly
Y562,Macro,1,6,Yearly
Y563,Macro,1,6,Yearly
Y564,Macro,1,6,Yearly
Y565,Macro,1,6,Yearly
Y566,Macro,1,6,Yearly
Y567,Macro,1,6,Yearly
Y568,Macro,1,6,Yearly
Y569,Macro,1,6,Yearly
Y570,Macro,1,6,Yearly
Y571,Macro,1,6,Yearly
Y572,Macro,1,6,Yearly
Y573,Macro,1,6,Yearly
Y574,Macro,1,6,Yearly
Y575,Macro,1,6,Yearly
Y576,Macro,1,6,Yearly
Y577,Macro,1,6,Yearly
Y578,Macro,1,6,Yearly
Y579,Macro,1,6,Yearly
Y580,Macro,1,6,Yearly
Y581,Macro,1,6,Yearly
Y582,Macro,1,6,Yearly
Y583,Macro,1,6,Yearly
Y584,Macro,1,6,Yearly
Y585,Macro,1,6,Yearly
Y586,Macro,1,6,Yearly
Y587,Macro,1,6,Yearly
Y588,Macro,1,6,Yearly
Y589,Macro,1,6,Yearly
Y590,Macro,1,6,Yearly
Y591,Macro,1,6,Yearly
Y592,Macro,1,6,Yearly
Y593,Macro,1,6,Yearly
Y594,Macro,1,6,Yearly
Y595,Macro,1,6,Yearly
Y596,Macro,1,6,Yearly
Y597,Macro,1,6,Yearly
Y598,Macro,1,6,Yearly
Y599,Macro,1,6,Yearly
Y600,Macro,1,6,Yearly
Y601,Macro,1,6,Yearly
Y602,Macro,1,6,Yearly
Y603,Macro,1,6,Yearly
Y604,Macro,1,6,Yearly
Y605,Macro,1,6,Yearly
Y606,Macro,1,6,Yearly
Y607,Macro,1,6,Yearly
Y608,Macro,1,6,Yearly
Y609,Macro,1,6,Yearly
Y610,Macro,1,6,Yearly
Y611,Macro,1,6,Yearly
Y612,Macro,1,6,Yearly
Y613,Macro,1,6,Yearly
Y614,Macro,1,6,Yearly
Y615,Macro,1,6,Yearly
Y616,Macro,1,6,Yearly
Y617,Macro,1,6,Yearly
Y618,Macro,1,6,Yearly
Y619,Macro,1,6,Yearly
Y620,Macro,1,6,Yearly
Y621,Macro,1,6,Yearly
Y622,Macro,1,6,Yearly
Y623,Macro,1,6,Yearly
Y624,Macro,1,6,Yearly
Y625,Macro,1,6,Yearly
Y626,Macro,1,6,Yearly
Y627,Macro,1,6,Yearly
Y628,Macro,1,6,Yearly
Y629,Macro,1,6,Yearly
Y630,Macro,1,6,Yearly
Y631,Macro,1,6,Yearly
Y632,Macro,1,6,Yearly
Y633,Macro,1,6,Yearly
Y634,Macro,1,6,Yearly
Y635,Macro,1,6,Yearly
Y636,Macro,1,6,Yearly
Y637,Macro,1,6,Yearly
Y638,Macro,1,6,Yearly
Y639,Macro,1,6,Yearly
Y640,Macro,1,6,Yearly
Y641,Macro,1,6,Yearly
Y642,Macro,1,6,Yearly
Y643,Macro,1,6,Yearly
Y644,Macro,1,6,Yearly
Y645,Macro,1,6,Yearly
Y646,Macro,1,6,Yearly
Y647,Macro,1,6,Yearly
Y648,Macro,1,6,Yearly
Y649,Macro,1,6,Yearly
Y650,Macro,1,6,Yearly
Y651,Macro,1,6,Yearly
Y652,Macro,1,6,Yearly
Y653,Macro,1,6,Yearly
Y654,Macro,1,6,Yearly
Y655,Macro,1,6,Yearly
Y656,Macro,1,6,Yearly
Y657,Macro,1,6,Yearly
Y658,Macro,1,6,Yearly
Y659,Macro,1,6,Yearly
Y660,Macro,1,6,Yearly
Y661,Macro,1,6,Yearly
Y662,Macro,1,6,Yearly
Y663,Macro,1,6,Yearly
Y664,Macro,1,6,Yearly
Y665,Macro,1,6,Yearly
Y666,Macro,1,6,Yearly
Y667,Macro,1,6,Yearly
Y668,Macro,1,6,Yearly
Y669,Macro,1,6,Yearly
Y670,Macro,1,6,Yearly
Y671,Macro,1,6,Yearly
Y672,Macro,1,6,Yearly
Y673,Macro,1,6,Yearly
Y674,Macro,1,6,Yearly
Y675,Macro,1,6,Yearly
Y676,Macro,1,6,Yearly
Y677,Macro,1,6,Yearly
Y678,Macro,1,6,Yearly
Y679,Macro,1,6,Yearly
Y680,Macro,1,6,Yearly
Y681,Macro,1,6,Yearly
Y682,Macro,1,6,Yearly
Y683,Macro,1,6,Yearly
Y684,Macro,1,6,Yearly
Y685,Macro,1,6,Yearly
Y686,Macro,1,6,Yearly
Y687,Macro,1,6,Yearly
Y688,Macro,1,6,Yearly
Y689,Macro,1,6,Yearly
Y690,Macro,1,6,Yearly
Y691,Macro,1,6,Yearly
Y692,Macro,1,6,Yearly
Y693,Macro,1,6,Yearly
Y694,Macro,1,6,Yearly
Y695,Macro,1,6,Yearly
Y696,Macro,1,6,Yearly
Y697,Macro,1,6,Yearly
Y698,Macro,1,6,Yearly
Y699,Macro,1,6,Yearly
Y700,Macro,1,6,Yearly
Y701,Macro,1,6,Yearly
Y702,Macro,1,6,Yearly
Y703,Macro,1,6,Yearly
Y704,Macro,1,6,Yearly
Y705,Macro,1,6,Yearly
Y706,Macro,1,6,Yearly
Y707,Macro,1,6,Yearly
Y708,Macro,1,6,Yearly
Y709,Macro,1,6,Yearly
Y710,Macro,1,6,Yearly
Y711,Macro,1,6,Yearly
Y712,Macro,1,6,Yearly
Y713,Macro,1,6,Yearly
Y714,Macro,1,6,Yearly
Y715,Macro,1,6,Yearly
Y716,Macro,1,6,Yearly
Y717,Macro,1,6,Yearly
Y718,Macro,1,6,Yearly
Y719,Macro,1,6,Yearly
Y720,Macro,1,6,Yearly
Y721,Macro,1,6,Yearly
Y722,Macro,1,6,Yearly
Y723,Macro,1,6,Yearly
Y724,Macro,1,6,Yearly
Y725,Macro,1,6,Yearly
Y726,Macro,1,6,Yearly
Y727,Macro,1,6,Yearly
Y728,Macro,1,6,Yearly
Y729,Macro,1,6,Yearly
Y730,Macro,1,6,Yearly
Y731,Macro,1,6,Yearly
Y732,Macro,1,6,Yearly
Y733,Macro,1,6,Yearly
Y734,Macro,1,6,Yearly
Y735,Macro,1,6,Yearly
Y736,Macro,1,6,Yearly
Y737,Macro,1,6,Yearly
Y738,Macro,1,6,Yearly
Y739,Macro,1,6,Yearly
Y740,Macro,1,6,Yearly
Y741,Macro,1,6,Yearly
Y742,Macro,1,6,Yearly
Y743,Macro,1,6,Yearly
Y744,Macro,1,6,Yearly
Y745,Macro,1,6,Yearly
Y746,Macro,1,6,Yearly
Y747,Macro,1,6,Yearly
Y748,Macro,1,6,Yearly
Y749,Macro,1,6,Yearly
Y750,Macro,1,6,Yearly
Y751,Macro,1,6,Yearly
Y752,Macro,1,6,Yearly
Y753,Macro,1,6,Yearly
Y754,Macro,1,6,Yearly
Y755,Macro,1,6,Yearly
Y756,Macro,1,6,Yearly
Y757,Macro,1,6,Yearly
Y758,Macro,1,6,Yearly
Y759,Macro,1,6,Yearly
Y760,Macro,1,6,Yearly
Y761,Macro,1,6,Yearly
Y762,Macro,1,6,Yearly
Y763,Macro,1,6,Yearly
Y764,Macro,1,6,Yearly
Y765,Macro,1,6,Yearly
Y766,Macro,1,6,Yearly
Y767,Macro,1,6,Yearly
Y768,Macro,1,6,Yearly
Y769,Macro,1,6,Yearly
Y770,Macro,1,6,Yearly
Y771,Macro,1,6,Yearly
Y772,Macro,1,6,Yearly
Y773,Macro,1,6,Yearly
Y774,Macro,1,6,Yearly
Y775,Macro,1,6,Yearly
Y776,Macro,1,6,Yearly
Y777,Macro,1,6,Yearly
Y778,Macro,1,6,Yearly
Y779,Macro,1,6,Yearly
Y780,Macro,1,6,Yearly
Y781,Macro,1,6,Yearly
Y782,Macro,1,6,Yearly
Y783,Macro,1,6,Yearly
Y784,Macro,1,6,Yearly
Y785,Macro,1,6,Yearly
Y786,Macro,1,6,Yearly
Y787,Macro,1,6,Yearly
Y788,Macro,1,6,Yearly
Y789,Macro,1,6,Yearly
Y790,Macro,1,6,Yearly
Y791,Macro,1,6,Yearly
Y792,Macro,1,6,Yearly
Y793,Macro,1,6,Yearly
Y794,Macro,1,6,Yearly
Y795,Macro,1,6,Yearly
Y796,Macro,1,6,Yearly
Y797,Macro,1,6,Yearly
Y798,Macro,1,6,Yearly
Y799,Macro,1,6,Yearly
Y800,Macro,1,6,Yearly
Y801,Macro,1,6,Yearly
Y802,Macro,1,6,Yearly
Y803,Macro,1,6,Yearly
Y804,Macro,1,6,Yearly
Y805,Macro,1,6,Yearly
Y806,Macro,1,6,Yearly
Y807,Macro,1,6,Yearly
Y808,Macro,1,6,Yearly
Y809,Macro,1,6,Yearly
Y810,Macro,1,6,Yearly
Y811,Macro,1,6,Yearly
Y812,Macro,1,6,Yearly
Y813,Macro,1,6,Yearly
Y814,Macro,1,6,Yearly
Y815,Macro,1,6,Yearly
Y816,Macro,1,6,Yearly
Y817,Macro,1,6,Yearly
Y818,Macro,1,6,Yearly
Y819,Macro,1,6,Yearly
Y820,Macro,1,6,Yearly
Y821,Macro,1,6,Yearly
